Coluna1	Coluna2	Coluna3	Coluna4	 Coluna5 	Coluna6	Coluna7	Coluna8	Coluna9	Coluna10	Coluna11
										
										
										
										
Vendedor		Curso		Preço	Nº de Alunos	Data de Início	Cliente	Professor	Turno	Estado 
										
										
										
										
										
										
										
										
Leonardo		MySQL		880	10	40741	Pessoa Física	Fábio	Manhã	Bahia
Carlitos		HTML 5		750	11	42340	Pessoa Jurídica	Joaquim	Tarde	Bahia
Flaviana		Excel Básico		800	10	41862	Pessoa Jurídica	Lívia	Noite	Espírito Santo
Santoro		Excel Intermediário		1000	9	41867	Pessoa Jurídica	Rossana	Integral	Minas Gerais
Leudissandro		Excel Avançado		1200	8	40893	Pessoa Física	Euletério	Madrugada	Minas Gerais
										
Paola		Excel BI		1480	10	40126	Pessoa Jurídica	Fábio	Sábado	Minas Gerais
										
Andrázio		Excel VBA Básico		1400	11	40852	Pessoa Física	Joaquim	Domingo	Minas Gerais
Luciana		Excel VBA avançado		1890	10	41821	Pessoa Física	Lívia	Personalizado	Minas Gerais
										
										
Florisbela		Access + VBA		1200	9	40777	Pessoa Física	Rossana	Manhã	Minas Gerais
Leonardo		JavaScript Básico		1200	8	41955	Pessoa Jurídica	Euletério	Tarde	Paraná
										
										
Carlitos		JavaScript Avançado		800	10	40428	Pessoa Jurídica	Fábio	Noite	Paraná
Flaviana		SQL Básico		110	11	40150	Pessoa Jurídica	Joaquim	Integral	Rio de Janeiro
Santoro		SQL Avançado		900	10	41802	Pessoa Física	Lívia	Madrugada	Rio Grande do Sul
Leudissandro		Css Básico		1180	9	41647	Pessoa Jurídica	Rossana	Segunda-feira	Rio Grande do Sul
Paola		Css Avançado		880	8	41407	Pessoa Física	Euletério	Terça-feira	Rio Grande do Sul
Andrázio		MySQL		750	10	41927	Pessoa Física	Fábio	Personalizado	Santa Catarina
Luciana		HTML 6		800	11	41595	Pessoa Física	Joaquim	Manhã	Santa Catarina
Florisbela		Excel Básico		1000	10	40361	Pessoa Jurídica	Lívia	Tarde	Santa Catarina
Leonardo		Excel Intermediário		1200	9	42143	Pessoa Jurídica	Rossana	Noite	São Paulo
Carlitos		Excel Avançado		1480	8	40276	Pessoa Jurídica	Euletério	Integral	São Paulo
Flaviana		Excel BI		1400	10	41446	Pessoa Física	Fábio	Madrugada	São Paulo
Santoro		Excel VBA Básico		1890	11	42295	Pessoa Jurídica	Joaquim	Quarta-feira	São Paulo
Leudissandro		Excel VBA avançado		1200	10	41935	Pessoa Física	Lívia	Quinta-feira	São Paulo
Paola		Access + VBA		1200	9	42278	Pessoa Física	Rossana	Personalizado	São Paulo
Andrázio		JavaScript Básico		800	8	41228	Pessoa Física	Euletério	Manhã	São Paulo
Luciana		JavaScript Avançado		110	10	41398	Pessoa Jurídica	Fábio	Tarde	São Paulo
Florisbela		SQL Básico		900	11	41341	Pessoa Jurídica	Joaquim	Noite	São Paulo
Leonardo		SQL Avançado		1180	10	40606	Pessoa Jurídica	Lívia	Integral	São Paulo
Carlitos		Css Básico		3200	9	40237	Pessoa Física	Fábio	Madrugada	São Paulo
Flaviana		Css Avançado		3921	8	41724	Pessoa Jurídica	Joaquim	Sexta-feira	São Paulo
